,contrast,label,maskSpeed,startVal,targLoc,trial
0,0.8,1-above_h,1,0.8,above,0
1,0.5,1-above_h,1,0.8,above,1
2,0.2,1-above_h,1,0.8,above,2
3,0.0,1-above_h,1,0.8,above,3
4,0.0,1-above_h,1,0.8,above,4
5,0.0,1-above_h,1,0.8,above,5
6,0.0,1-above_h,1,0.8,above,6
7,0.0,1-above_h,1,0.8,above,7
8,0.3,1-above_h,1,0.8,above,8
9,0.3,1-above_h,1,0.8,above,9
10,0.09999999999999998,1-above_h,1,0.8,above,10
11,0.09999999999999998,1-above_h,1,0.8,above,11
12,0.0,1-above_h,1,0.8,above,12
13,0.0,1-above_h,1,0.8,above,13
14,0.2,1-above_h,1,0.8,above,14
15,0.2,1-above_h,1,0.8,above,15
16,0.1,1-above_h,1,0.8,above,16
17,0.2,1-above_h,1,0.8,above,17
18,0.2,1-above_h,1,0.8,above,18
19,0.15000000000000002,1-above_h,1,0.8,above,19
20,0.15000000000000002,1-above_h,1,0.8,above,20
21,0.2,1-above_h,1,0.8,above,21
22,0.2,1-above_h,1,0.8,above,22
23,0.17,1-above_h,1,0.8,above,23
24,0.17,1-above_h,1,0.8,above,24
25,0.14,1-above_h,1,0.8,above,25
26,0.14,1-above_h,1,0.8,above,26
27,0.17,1-above_h,1,0.8,above,27
28,0.2,1-above_h,1,0.8,above,28
29,0.2,1-above_h,1,0.8,above,29
0,0.1,1-above_l,1,0.1,above,0
1,0.4,1-above_l,1,0.1,above,1
2,0.10000000000000003,1-above_l,1,0.1,above,2
3,0.10000000000000003,1-above_l,1,0.1,above,3
4,0.30000000000000004,1-above_l,1,0.1,above,4
5,0.30000000000000004,1-above_l,1,0.1,above,5
6,0.10000000000000003,1-above_l,1,0.1,above,6
7,0.20000000000000004,1-above_l,1,0.1,above,7
8,0.30000000000000004,1-above_l,1,0.1,above,8
9,0.30000000000000004,1-above_l,1,0.1,above,9
10,0.20000000000000004,1-above_l,1,0.1,above,10
